id,name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
historical,Federal Student Loans Contribution,previous,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Student Loans Contribution,previous,NA,NA,NA,NA,NA,NA,NA,0,0,0.0441,0.0311,0.0404,0.0219,0.0216,0.018,0.0172,-0.0351
historical,Federal Subsidies Contribution,previous,0.3989,0.2368,0.0301,-0.0599,-0.0843,-0.0839,-0.0467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Subsidies Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0567,-0.5287,-0.5802,-0.2271,-0.1789,-0.3244,-0.2422,-0.1052,-0.0323,-0.0839
historical,Federal Ui Contribution,previous,0.0757,-0.9734,-1.0358,-0.9602,-1.4191,-0.965,-0.3962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Ui Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.3902,-0.2853,-0.1301,-0.0067,-8e-4,-4e-4,-1e-4,-0,-1e-4,-0.0012
historical,Fiscal Impact,previous,-2.1034,-2.4715,-3.07,-3.8248,-4.7997,-2.4954,-0.9796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Fiscal Impact,previous,NA,NA,NA,NA,NA,NA,NA,-1.4594,-1.5607,-0.4575,-0.4824,-0.5423,-0.1539,-0.1131,0.0286,0.0064,-72.1432
historical,Gdp,previous,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Gdp,previous,NA,NA,NA,NA,NA,NA,NA,26286.9434,26448.0556,26676.3483,26944.4664,27252.6112,27578.2551,27910.5366,28254.5846,28605.1697,28947.4076
historical,Grants Contribution,previous,0.6723,-0.0279,0.3072,0.3745,0.7907,-0.3015,-0.6942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Grants Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.4554,-0.0314,-0.1189,-0.0684,-0.2613,-0.3749,-0.0131,0.0135,-0.3178,-6.7176
historical,Real Potential Gdp Growth,previous,0.0044,0.0044,0.0045,0.0045,0.0045,0.0045,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Real Potential Gdp Growth,previous,NA,NA,NA,NA,NA,NA,NA,0.0045,0.0043,0.0042,0.0042,0.0041,0.0041,0.0042,0.0043,0.0043,0.0044
historical,Rebate Checks Arp Contribution,previous,-1.0348,-0.0472,-1.1572,-0.0324,-0.0225,-0.0333,-0.0214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Rebate Checks Arp Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.021,-0.43120000000000003,-0.0126,-0.0125,-0.6169,-1e-4,-1e-4,-0.0062,0,0
historical,Rebate Checks Contribution,previous,-0.2653,-1.0944,-0.3705,-0.0606,-1.0044,-0.0298,-0.0199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Rebate Checks Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.5171,-0.2523,-0.0336,0,0,0,0,0,0,0
historical,State Contribution,previous,-0.9179,0.3274,-0.6783,-0.6125,-1.0525,0.5137,0.7797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Contribution,previous,NA,NA,NA,NA,NA,NA,NA,0.3238,-0.0153,0.1234,-0.0109,0.2011,0.2933,-0.0707,-0.1008,0.2283,-37.9279
historical,State Corporate Taxes Contribution,previous,-0.0123,-0.0135,-0.0204,-0.0433,-0.0104,-0.0054,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Corporate Taxes Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0116,-0.009,0.001,0.0045,0.0053,0.0052,0.0056,0.0111,0.0348,0.058
historical,State Health Outlays Contribution,previous,0.2407,-0.0506,-0.006,-0.1493,-0.1256,-0.1428,-0.0469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Health Outlays Contribution,previous,NA,NA,NA,NA,NA,NA,NA,0.0331,0.0055,0.1499,0.1038,0.0912,0.0188,-0.064,-0.0508,-0.0491,-0.743
historical,State Non Corporate Taxes Contribution,previous,-0.1091,0.0179,0.0133,-0.0226,-0.0567,0.0556,0.1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Non Corporate Taxes Contribution,previous,NA,NA,NA,NA,NA,NA,NA,0.1108,0.1323,0.0737,0.0881,0.0726,0.0541,0.0434,0.0088,0.0045,4.091
historical,State Purchases Deflator Growth,previous,0.0206,0.017,0.0219,0.0254,0.0355,0.0072,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Purchases Deflator Growth,previous,NA,NA,NA,NA,NA,NA,NA,0.0086,0.008,0.0086,0.0085,0.0077,0.0069,0.0067,0.0066,0.0068,0.0068
historical,State Social Benefits,previous,165.3,169.9,170.2,171.6,173.2,196.8,249.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Social Benefits,previous,NA,NA,NA,NA,NA,NA,NA,183.5721,186.4188,189.3096,192.2453,195.2264,198.2538,201.3282,204.4502,207.6206,0
historical,State Subsidies Contribution,previous,0.0068,-0.0011,-5e-4,-5e-4,-4e-4,-1e-4,-1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Subsidies Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-7e-4,-8e-4,-5e-4,-5e-4,-0.0014,-0.0044,-4e-4,-4e-4,-4e-4,-3e-4
historical,State Ui Contribution,previous,-0.2083,-0.2193,-0.127,-0.1237,-0.2215,-0.107,-0.0473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,State Ui Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0277,-0.0062,0.0071,0.016,0.0123,0.0075,0.0025,-0.0016,-0.004,-0.0795
